dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Matawan,Matawan,Matawan,7747,40.407507,-74.233788,0,Convertible,Black,0.17,7747,0,0,0,0,0,0,4,2,7,4,8,12,24,22,6,24
Fans,Philadelphia Phillies,MLB,Maurice River,Heislerville,Heislerville,8324,39.224047,-74.994184,0,Convertible,Black,0.17,8324,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Mentone,Mentone,Mentone,92359,34.07001,-117.13448,0,Convertible,Black,0.17,92359,0,23,0,0,1,0,0,2,1,0,3,3,2,0,0,5
Fans,Philadelphia Phillies,MLB,Mentone,Mentone,Mentone,92359,34.07001,-117.13448,0,Convertible,Black,0.17,92359,0,23,0,0,1,0,0,2,1,0,3,3,2,0,0,5
Fans,Philadelphia Phillies,MLB,Millersville,Goodlettsville,Goodlettsville,37072,36.34145,-86.775747,24,Convertible,Black,0.17,37072,21,10,13,27,12,13,11,7,26,41,44,23,42,16,15,30
Fans,Philadelphia Phillies,MLB,Millsboro,Millsboro,Millsboro,19966,38.659458,-75.24641,22,Convertible,Black,0.17,19966,0,28,7,22,13,3,24,13,4,23,21,25,7,6,14,3
Fans,Philadelphia Phillies,MLB,Montgomeryville,Montgomeryville,Montgomeryville,18936,40.24733,-75.24379,35,Casual,Black,0.17,18936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Morrisville,Richeyville,Richeyville,15358,40.056347,-79.992554,30,Casual,Black,0.17,15358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Mount Ephraim,Mount Ephraim,Mount Ephraim,8059,39.886463,-75.094068,38,Casual,Black,0.17,8059,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Mount Holly Springs,Mount Holly Springs,Mount Holly Springs,17065,40.11842,-77.18998,0,Convertible,Black,0.17,17065,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Fans,Philadelphia Phillies,MLB,Mount Laurel,Mount Laurel,Mount Laurel,8054,39.955912,-74.91731,21,Convertible,Black,0.17,8054,6,8,22,15,0,4,10,6,13,33,42,35,47,30,58,62
Fans,Philadelphia Phillies,MLB,Mount Pleasant Mills,Mount Pleasant Mills,Mount Pleasant Mills,17853,40.723706,-77.013547,0,Convertible,Black,0.17,17853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Mount Royal,Mount Royal,Mount Royal,8061,39.808643,-75.212943,0,Convertible,Black,0.17,8061,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Myerstown,Myerstown,Myerstown,17067,40.39037,-76.315043,31,Casual,Black,0.17,17067,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0
Fans,Philadelphia Phillies,MLB,National Park,National Park,National Park,8063,39.86595,-75.17879,0,Convertible,Black,0.17,8063,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Fans,Philadelphia Phillies,MLB,Nescopeck,Nescopeck,Nescopeck,18635,41.049051,-76.189182,0,Convertible,Black,0.17,18635,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Fans,Philadelphia Phillies,MLB,New Holland,New Holland,New Holland,17557,40.14607,-76.073814,0,Convertible,Black,0.17,17557,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8
Fans,Philadelphia Phillies,MLB,New Oxford,New Oxford,New Oxford,17350,39.881881,-77.077431,0,Convertible,Black,0.17,17350,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Fans,Philadelphia Phillies,MLB,New Tripoli,New Tripoli,New Tripoli,18066,40.652611,-75.759361,0,Convertible,Black,0.17,18066,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Newfield,Newfield,Newfield,8344,39.565465,-75.014084,0,Convertible,Black,0.17,8344,0,0,1,2,0,1,2,2,0,5,6,0,0,0,0,1
Fans,Philadelphia Phillies,MLB,North Star,Hockessin,Hockessin,19707,39.78384,-75.6816,34,Casual,Black,0.17,19707,1,0,0,4,0,0,2,0,0,0,14,0,8,0,0,0
Fans,Philadelphia Phillies,MLB,North Wildwood,Wildwood,Wildwood,8260,39,-74.81667,81,Avid,Black,0.17,8260,0,3,0,3,4,3,0,20,0,0,0,0,2,2,3,0
Fans,Philadelphia Phillies,MLB,Oaks,Oaks,Oaks,19456,40.13177,-75.45963,29,Casual,Black,0.17,19456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
