dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Langhorne,Langhorne,Langhorne,19047,40.179971,-74.912096,38,Casual,Hispanic,0.18,19047,9,1,1,2,2,0,0,0,2,10,4,7,4,0,11,10
Fans,Philadelphia Phillies,MLB,Laureldale,Reading,Reading,19605,40.404942,-75.941603,31,Casual,Hispanic,0.18,19605,31,11,3,9,9,5,14,2,13,8,16,36,51,7,17,8
Fans,Philadelphia Phillies,MLB,Lawrence Township,Trenton,Trenton,8648,40.279457,-74.69118,0,Convertible,Hispanic,0.18,8648,0,4,0,0,1,12,5,6,3,11,13,39,22,10,23,43
Fans,Philadelphia Phillies,MLB,Levittown,Levittown,Levittown,11756,40.7228,-73.515819,41,Casual,Hispanic,0.18,11756,0,0,1,2,2,0,2,9,14,0,31,22,34,53,101,87
Fans,Philadelphia Phillies,MLB,Line Lexington,Line Lexington,Line Lexington,18932,40.299561,-75.254097,0,Convertible,Hispanic,0.18,18932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Linntown,Lewisburg,Lewisburg,17837,40.969642,-76.948072,0,Convertible,Hispanic,0.18,17837,0,20,2,2,0,0,5,0,0,0,0,0,0,4,10,1
Fans,Philadelphia Phillies,MLB,Little River,Little River,Little River,29566,33.87853,-78.63938,0,Convertible,Hispanic,0.18,29566,0,1,0,0,0,0,6,0,3,0,4,5,6,0,3,1
Fans,Philadelphia Phillies,MLB,Logan Township,Washington,Washington,27889,35.519268,-76.8892,36,Casual,Hispanic,0.18,27889,3,28,10,22,7,36,0,2,9,16,9,6,5,9,10,0
Fans,Philadelphia Phillies,MLB,Lumberton,Lumberton,Lumberton,8048,39.962299,-74.80007,30,Casual,Hispanic,0.18,8048,0,0,0,0,0,0,0,0,0,0,1,23,2,4,5,6
Fans,Philadelphia Phillies,MLB,Magnolia,Magnolia,Magnolia,8049,39.854363,-75.036214,0,Convertible,Hispanic,0.18,8049,0,0,3,0,3,0,0,0,0,5,5,0,17,0,0,0
Fans,Philadelphia Phillies,MLB,Mahanoy City,Mahanoy City,Mahanoy City,17948,40.81259,-76.1416,0,Convertible,Hispanic,0.18,17948,1,0,11,0,0,0,0,0,8,1,7,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Maple Shade Township,Maple Shade,Maple Shade,8052,39.951212,-74.992163,35,Casual,Hispanic,0.18,8052,0,0,0,3,30,3,10,7,6,9,30,57,3,8,4,0
Fans,Philadelphia Phillies,MLB,Marshall,Marshall,Marshall,62441,39.39143,-87.69364,0,Convertible,Hispanic,0.18,62441,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Fans,Philadelphia Phillies,MLB,Matawan,Matawan,Matawan,7747,40.407507,-74.233788,0,Convertible,Hispanic,0.18,7747,1,11,3,0,4,4,4,3,0,10,11,18,25,24,22,30
Fans,Philadelphia Phillies,MLB,Maurice River,Heislerville,Heislerville,8324,39.224047,-74.994184,0,Convertible,Hispanic,0.18,8324,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Mentone,Mentone,Mentone,92359,34.07001,-117.13448,0,Convertible,Hispanic,0.18,92359,3,24,5,6,10,1,10,24,3,25,21,29,24,14,19,5
Fans,Philadelphia Phillies,MLB,Mentone,Mentone,Mentone,92359,34.07001,-117.13448,0,Convertible,Hispanic,0.18,92359,3,24,5,6,10,1,10,24,3,25,21,29,24,14,19,5
Fans,Philadelphia Phillies,MLB,Millersville,Goodlettsville,Goodlettsville,37072,36.34145,-86.775747,24,Convertible,Hispanic,0.18,37072,6,3,6,5,9,7,7,4,4,27,37,6,7,13,8,0
Fans,Philadelphia Phillies,MLB,Millsboro,Millsboro,Millsboro,19966,38.659458,-75.24641,22,Convertible,Hispanic,0.18,19966,6,0,6,5,9,4,14,2,3,17,6,10,15,6,4,1
Fans,Philadelphia Phillies,MLB,Montgomeryville,Montgomeryville,Montgomeryville,18936,40.24733,-75.24379,35,Casual,Hispanic,0.18,18936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Morrisville,Richeyville,Richeyville,15358,40.056347,-79.992554,30,Casual,Hispanic,0.18,15358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Mount Ephraim,Mount Ephraim,Mount Ephraim,8059,39.886463,-75.094068,38,Casual,Hispanic,0.18,8059,0,12,0,0,1,0,4,0,0,10,1,4,2,4,0,4
