dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Mount Holly Springs,Mount Holly Springs,Mount Holly Springs,17065,40.11842,-77.18998,0,Convertible,White,0.62,17065,14,13,23,38,28,35,22,37,48,15,58,100,184,145,78,42
Fans,Philadelphia Phillies,MLB,Mount Laurel,Mount Laurel,Mount Laurel,8054,39.955912,-74.91731,21,Convertible,White,0.62,8054,169,53,69,251,160,246,80,270,156,180,526,658,1055,876,777,1270
Fans,Philadelphia Phillies,MLB,Mount Pleasant Mills,Mount Pleasant Mills,Mount Pleasant Mills,17853,40.723706,-77.013547,0,Convertible,White,0.62,17853,11,12,21,22,25,22,10,77,26,29,76,100,91,68,47,47
Fans,Philadelphia Phillies,MLB,Mount Royal,Mount Royal,Mount Royal,8061,39.808643,-75.212943,0,Convertible,White,0.62,8061,0,0,0,0,29,0,9,0,16,125,14,35,51,45,109,91
Fans,Philadelphia Phillies,MLB,Myerstown,Myerstown,Myerstown,17067,40.39037,-76.315043,31,Casual,White,0.62,17067,113,74,144,114,172,107,59,212,154,100,236,378,678,352,287,366
Fans,Philadelphia Phillies,MLB,National Park,National Park,National Park,8063,39.86595,-75.17879,0,Convertible,White,0.62,8063,6,8,15,22,10,20,16,43,21,27,71,42,91,113,30,55
Fans,Philadelphia Phillies,MLB,Nescopeck,Nescopeck,Nescopeck,18635,41.049051,-76.189182,0,Convertible,White,0.62,18635,19,11,50,16,49,32,14,48,37,39,72,74,158,76,88,74
Fans,Philadelphia Phillies,MLB,New Holland,New Holland,New Holland,17557,40.14607,-76.073814,0,Convertible,White,0.62,17557,185,26,73,126,138,69,46,187,48,91,237,273,388,358,350,263
Fans,Philadelphia Phillies,MLB,New Oxford,New Oxford,New Oxford,17350,39.881881,-77.077431,0,Convertible,White,0.62,17350,72,63,128,149,94,164,55,88,86,116,210,417,420,396,284,203
Fans,Philadelphia Phillies,MLB,New Tripoli,New Tripoli,New Tripoli,18066,40.652611,-75.759361,0,Convertible,White,0.62,18066,14,25,2,57,18,22,14,35,37,45,141,105,96,186,59,231
Fans,Philadelphia Phillies,MLB,Newfield,Newfield,Newfield,8344,39.565465,-75.014084,0,Convertible,White,0.62,8344,13,33,8,89,42,16,12,64,22,37,82,113,119,105,116,84
Fans,Philadelphia Phillies,MLB,North Star,Hockessin,Hockessin,19707,39.78384,-75.6816,34,Casual,White,0.62,19707,100,30,9,25,75,17,19,81,92,9,105,281,286,179,283,495
Fans,Philadelphia Phillies,MLB,North Wildwood,Wildwood,Wildwood,8260,39,-74.81667,81,Avid,White,0.62,8260,212,189,56,144,85,190,73,115,190,209,292,352,511,259,198,331
Fans,Philadelphia Phillies,MLB,Oaks,Oaks,Oaks,19456,40.13177,-75.45963,29,Casual,White,0.62,19456,0,0,0,0,0,0,7,0,9,0,0,0,0,0,9,15
Fans,Philadelphia Phillies,MLB,Oakwood,Bedford,Bedford,44146,41.389054,-81.536842,0,Convertible,White,0.62,44146,226,128,278,116,72,159,69,140,160,198,296,295,358,211,199,172
Fans,Philadelphia Phillies,MLB,Ocean City,Ocean City,Ocean City,8226,39.277616,-74.5746,36,Casual,White,0.62,8226,108,74,97,89,45,151,61,50,83,112,214,205,277,312,226,394
Fans,Philadelphia Phillies,MLB,Old Forge,Old Forge,Old Forge,18518,41.372779,-75.730836,0,Convertible,White,0.62,18518,92,51,66,134,108,141,87,40,68,57,123,224,342,267,223,109
Fans,Philadelphia Phillies,MLB,Oley,Oley,Oley,19547,40.38759,-75.78964,28,Casual,White,0.62,19547,2,16,0,25,98,23,27,64,30,70,34,91,202,122,105,123
Fans,Philadelphia Phillies,MLB,Oreland,Oreland,Oreland,19075,40.113809,-75.185219,30,Casual,White,0.62,19075,29,7,0,38,29,5,7,18,56,87,90,153,199,215,155,225
Fans,Philadelphia Phillies,MLB,Palmyra,Palmyra,Palmyra,17078,40.30898,-76.5933,35,Casual,White,0.62,17078,156,96,96,154,198,296,92,158,128,234,312,560,709,624,487,508
Fans,Philadelphia Phillies,MLB,Paoli,Paoli,Paoli,19301,40.040057,-75.488793,24,Convertible,White,0.62,19301,36,16,9,33,29,17,15,8,35,48,74,103,128,126,76,135
Fans,Philadelphia Phillies,MLB,Parkesburg,Parkesburg,Parkesburg,19365,39.95872,-75.91939,45,Casual,White,0.62,19365,37,25,51,32,40,37,26,25,23,0,61,148,182,203,164,178
